dataset;pretty_name;preprocessA;normalise_by_num_nodes;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
NCI1;NCI-1;['add_self_loops'];True;50;0.6720000061723921;0.025145499607557523;131.56241436004638;1.0280869446318415;[0.7044444481531779, 0.6600000063578287, 0.6533333460489908, 0.6377777854601542, 0.6688888933923509, 0.6799999939070808, 0.6422222322887845, 0.717777775393592, 0.662222233083513, 0.6933333476384481];[130.04923391342163, 130.52051067352295, 130.28925800323486, 131.06269073486328, 131.73366498947144, 131.32164335250854, 132.38952136039734, 133.01356959342957, 132.30509328842163, 132.93895769119263]
NCI109;NCI-109;['add_self_loops'];True;50;0.6857777837249969;0.030310330338699176;134.25311031341553;1.0326568251568709;[0.6533333361148834, 0.7066666748788621, 0.6911111209127638, 0.7022222412957085, 0.6533333394262526, 0.6511111193233066, 0.6888888941870795, 0.7333333359824287, 0.65111110607783, 0.7266666690508524];[132.27854371070862, 133.63722372055054, 133.6279902458191, 133.73965072631836, 133.42855048179626, 134.68628334999084, 134.68360352516174, 135.6317584514618, 135.6396381855011, 135.17786073684692]
PTC_MM;PTC-MM;['add_self_loops'];True;50;0.648412436246872;0.08029381188584903;45.918310809135434;1.1222734949055417;[0.6176470518112183, 0.7647058963775635, 0.5588235259056091, 0.7941176295280457, 0.6470588445663452, 0.7058823704719543, 0.529411792755127, 0.6363636255264282, 0.6363636255264282, 0.59375];[45.44181156158447, 44.54106307029724, 44.96865916252136, 45.47211289405823, 45.75110936164856, 45.406898975372314, 48.78831911087036, 46.80700445175171, 45.86236047744751, 46.14376902580261]
PTC_FM;PTC-FM;['add_self_loops'];True;50;0.6246965557336808;0.06896047923337442;48.279698967933655;0.9179169814875883;[0.6666666865348816, 0.6666666865348816, 0.6111111044883728, 0.48571428656578064, 0.5428571701049805, 0.6857143044471741, 0.7352941036224365, 0.5882353186607361, 0.6470588445663452, 0.6176470518112183];[46.52047371864319, 47.371381521224976, 47.66116452217102, 48.00786018371582, 48.47481060028076, 48.57967567443848, 48.103471517562866, 49.175827741622925, 49.03733158111572, 49.86499261856079]
PTC_MR;PTC-MR;['add_self_loops'];True;50;0.5983660161495209;0.09509129856780915;51.41703951358795;0.8359080818427302;[0.6111111044883728, 0.6666666865348816, 0.529411792755127, 0.7058823704719543, 0.6176470518112183, 0.5, 0.38235294818878174, 0.6176470518112183, 0.6764705777168274, 0.6764705777168274];[50.18163800239563, 50.53907251358032, 50.49929881095886, 50.8154776096344, 51.22621011734009, 52.008338928222656, 51.65923023223877, 52.26338315010071, 52.606340408325195, 52.371405363082886]
PTC_FR;PTC-FR;['add_self_loops'];True;50;0.6666666865348816;0.018070156981039674;54.05901634693146;1.0595392963732315;[0.6666666865348816, 0.6857143044471741, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.7142857313156128, 0.6571428775787354];[52.42263126373291, 52.519715547561646, 52.95666718482971, 53.50412034988403, 54.38226318359375, 54.59252691268921, 54.73353409767151, 54.85932111740112, 55.456297159194946, 55.16308665275574]
ENZYMES;ENZYMES;['add_self_loops'];False;50;0.30199999958276746;0.06209669965276119;75.54282970428467;1.6313705615142304;[0.22999999672174454, 0.2499999925494194, 0.3400000035762787, 0.3999999910593033, 0.2900000065565109, 0.2499999925494194, 0.3200000077486038, 0.21000000089406967, 0.35999999940395355, 0.3700000047683716];[72.16199469566345, 73.89109873771667, 74.42643904685974, 75.24979782104492, 75.29789853096008, 75.87598276138306, 76.76906704902649, 76.59680461883545, 77.72246479988098, 77.43674898147583]
MUTAG;MUTAG;['add_self_loops'];False;50;0.8517543971538544;0.06208917827032686;58.97103810310364;1.368850299303283;[0.800000011920929, 0.8500000238418579, 0.8500000238418579, 0.8421052694320679, 0.8421052694320679, 0.7777777910232544, 1.0, 0.7777777910232544, 0.8888888955116272, 0.8888888955116272];[58.18067646026611, 57.109044551849365, 57.99193859100342, 59.02115440368652, 57.88897919654846, 59.00843834877014, 59.711386919021606, 58.870758056640625, 62.38005971908569, 59.54794478416443]
NCI1;NCI-1;['add_self_loops'];False;50;0.7411111169391208;0.029702225846234293;158.36479439735413;1.422616243469688;[0.7644444505373637, 0.6977777812216017, 0.7933333449893527, 0.7533333367771573, 0.7200000153647529, 0.6977777812216017, 0.7577777769830492, 0.7177777886390686, 0.7577777836057875, 0.751111110051473];[156.0547182559967, 156.121075630188, 157.79127717018127, 158.00979089736938, 159.25321125984192, 158.59060502052307, 158.04642701148987, 159.25697088241577, 159.77366852760315, 160.75019931793213]
NCI109;NCI-109;['add_self_loops'];False;50;0.7251111116674211;0.031048344644277744;162.48653671741485;1.140859641573991;[0.7400000029140048, 0.7422222230169508, 0.6977777812216017, 0.7666666507720947, 0.748888889948527, 0.7133333285649618, 0.69777778784434, 0.7444444431198968, 0.7422222230169508, 0.6577777862548828];[161.53404140472412, 160.3068106174469, 161.474449634552, 161.8312270641327, 162.8584442138672, 163.221755027771, 162.72451901435852, 162.97677564620972, 163.45189356803894, 164.48545098304749]
PTC_MM;PTC-MM;['add_self_loops'];False;50;0.6694518804550171;0.04564977010558554;70.24414646625519;1.041150509630851;[0.7058823704719543, 0.6176470518112183, 0.7058823704719543, 0.7058823704719543, 0.5882353186607361, 0.6470588445663452, 0.7352941036224365, 0.6969696879386902, 0.6666666865348816, 0.625];[69.63545989990234, 69.62023878097534, 68.94309592247009, 70.36447381973267, 69.00137400627136, 69.79773592948914, 70.68668460845947, 70.65109133720398, 71.17183423042297, 72.56947612762451]
PTC_FM;PTC-FM;['add_self_loops'];False;50;0.5985340893268585;0.0560495234779705;73.4333928346634;1.2896258008825279;[0.6111111044883728, 0.6388888955116272, 0.5277777910232544, 0.6857143044471741, 0.6285714507102966, 0.6285714507102966, 0.6176470518112183, 0.529411792755127, 0.6176470518112183, 0.5];[71.33242416381836, 72.15524363517761, 71.83698177337646, 72.84362745285034, 73.73789310455322, 73.99289011955261, 74.00274610519409, 75.72902178764343, 74.32507133483887, 74.3780288696289]
PTC_MR;PTC-MR;['add_self_loops'];False;50;0.5228758186101914;0.06889536624125002;76.2058937549591;1.1728061051201573;[0.5833333134651184, 0.5277777910232544, 0.47058823704719543, 0.6176470518112183, 0.44117647409439087, 0.47058823704719543, 0.6176470518112183, 0.47058823704719543, 0.44117647409439087, 0.5882353186607361];[74.5917751789093, 74.22059798240662, 75.36942601203918, 76.55122661590576, 76.01151251792908, 76.31940460205078, 76.2802186012268, 78.00477766990662, 76.87752270698547, 77.83247566223145]
PTC_FR;PTC-FR;['add_self_loops'];False;50;0.6525396972894668;0.06900820380849314;80.36022028923034;1.3968092622352082;[0.6111111044883728, 0.6571428775787354, 0.6285714507102966, 0.6857143044471741, 0.7142857313156128, 0.7428571581840515, 0.7142857313156128, 0.48571428656578064, 0.6285714507102966, 0.6571428775787354];[77.73763179779053, 79.10458254814148, 79.71898698806763, 79.1346218585968, 80.26864838600159, 81.02310490608215, 80.68884634971619, 82.10131359100342, 81.30469632148743, 82.51977014541626]
